Recipient,Total,From Individuals,From Organization,Recipient Type,View
"Arrington, Jodey",22358,12358,10000,Candidate (R-TX19),Republican
"Scott, Austin",22350,12350,10000,Candidate (R-GA08),Republican
"Garcia, Sylvia",22333,12333,10000,Candidate (D-TX29),Democrat
"Westerman, Bruce",22146,12146,10000,Candidate (R-AR04),Republican
"Miller, Carol",22000,12000,10000,Candidate (R-WV01),Republican
"Moolenaar, John",21500,11500,10000,Candidate (R-MI02),Republican
"Perry, Scott",21250,16250,5000,Candidate (R-PA10),Republican
"Brecheen, Josh",21000,11000,10000,Candidate (R-OK02),Republican
"Brown, Sherrod",20940,20940,0,Candidate (D-OHS1),Democrat
"Harris, Andy",20588,10588,10000,Candidate (R-MD01),Republican
"Smith, Adrian",20508,10508,10000,Candidate (R-NE03),Republican
"Bean, Aaron",20374,10374,10000,Candidate (R-FL04),Republican
"Bice, Stephanie",20074,10074,10000,Candidate (R-OK05),Republican
"Simpson, Mike",19250,9250,10000,Candidate (R-ID02),Republican
"Bilirakis, Gus",19250,9250,10000,Candidate (R-FL12),Republican
"Huizenga, Bill",19100,9100,10000,Candidate (R-MI04),Republican
"Larson, John",18700,13700,5000,Candidate (D-CT01),Democrat
"Carter, John",18500,13500,5000,Candidate (R-TX31),Republican
"Strong, Dale",18499,13499,5000,Candidate (R-AL05),Republican
"Comer, James",18400,8400,10000,Candidate (R-KY01),Republican
"Stutzman, Marlin",18300,8300,10000,Candidate (R-IN03),Republican
"Harris, Mark",18250,8250,10000,Candidate (R-NC08),Republican
"Self, Keith",18100,8100,10000,Candidate (R-TX03),Republican
"Rouzer, David",18002,13002,5000,Candidate (R-NC07),Republican
"Conaway, Herb",18001,13001,5000,Candidate (D-NJ03),Democrat
"Mcdowell, Addison",17500,7500,10000,Candidate (R-NC06),Republican
"Lee, Susie",16800,6800,10000,Candidate (D-NV03),Democrat
"Kelly, Trent",16753,11753,5000,Candidate (R-MS01),Republican
"Haridopolos, Mike",16668,6668,10000,Candidate (R-FL08),Republican
"Zinke, Ryan",16650,16650,0,Candidate (R-MT01),Republican
"Correa, Lou",16206,11206,5000,Candidate (D-CA46),Democrat
"McClain, Lisa",16050,6050,10000,Candidate (R-MI09),Republican
Jewish Democratic Council of America,16000,16000,0,Carey,Liberal
"Williams, Roger",15900,5900,10000,Candidate (R-TX25),Republican
"Steube, Greg",15500,5500,10000,Candidate (R-FL17),Republican
"Hageman, Harriet",15500,10500,5000,Candidate (R-WY01),Republican
"Luna, Anna Paulina",15250,5250,10000,Candidate (R-FL13),Republican
"Schmidt, Derek",15250,250,15000,Candidate (R-KS02),Republican
"Gooden, Lance",15000,0,15000,Candidate (R-TX05),Republican
"Laturner, Jake",15000,10000,5000,Candidate (R-KS02),Republican
"Estes, Ron",14750,9750,5000,Candidate (R-KS04),Republican
"Donalds, Byron",14560,4560,10000,Candidate (R-FL19),Republican
"Latta, Bob",14501,9501,5000,Candidate (R-OH05),Republican
"Kilmer, Derek",14500,14500,0,Candidate (D-WA06),Democrat
"Justice, Jim",14500,14500,0,Candidate (R-WVS1),Republican
"Himes, Jim",14400,14400,0,Candidate (D-CT04),Democrat
"Clyburn, James E",14350,9350,5000,Candidate (D-SC06),Democrat
"Bishop, Sanford",14250,4250,10000,Candidate (D-GA02),Democrat
"Lesko, Debbie",14250,14250,0,Candidate (R-AZ08),Republican
"Rivas, Luz",13900,8900,5000,Candidate (D-CA29),Democrat
"McBath, Lucy",13800,3800,10000,Candidate (D-GA07),Democrat
"Amodei, Mark",13750,3750,10000,Candidate (R-NV02),Republican
"Gallego, Ruben",13630,13630,0,Candidate (D-AZ03),Democrat
"Turner, Sylvester",13600,8600,5000,Candidate (D-TX18),Democrat
"Randall, Emily",12800,7800,5000,Candidate (D-WA06),Democrat
"Courtney, Joe",11925,5925,6000,Candidate (D-CT02),Democrat
"Wilson, Frederica",11900,6900,5000,Candidate (D-FL24),Democrat
"Fitzgerald, Scott",11600,6600,5000,Candidate (R-WI05),Republican
"Guthrie, Brett",11500,1500,10000,Candidate (R-KY02),Republican
"Ansari, Yassamin",11450,11450,0,Candidate (D-AZ03),Democrat
"Ogles, Andy",11429,1429,10000,Candidate (R-TN05),Republican
"Matsui, Doris",11322,1322,10000,Candidate (D-CA07),Democrat
"D'Esposito, Anthony",11250,1250,10000,Candidate (R-NY04),Republican
"Mfume, Kweisi",11000,1000,10000,Candidate (D-MD07),Democrat
"Keating, Bill",11000,1000,10000,Candidate (D-MA09),Democrat
"Alford, Mark",11000,6000,5000,Candidate (R-MO04),Republican
"Burchett, Tim",10834,5834,5000,Candidate (R-TN02),Republican
"Crawford, Rick",10750,750,10000,Candidate (R-AR01),Republican
"Harrigan, Pat",10750,750,10000,Candidate (R-NC10),Republican
"Garcia, Robert",10700,10700,0,Candidate (D-CA42),Democrat
"Foushee, Valerie",10680,5680,5000,Candidate (D-NC04),Democrat
"McGuire, John",10600,600,10000,Candidate (R-VA05),Republican
"Rogers, Hal",10500,500,10000,Candidate (R-KY05),Republican
"Foxx, Virginia",10500,500,10000,Candidate (R-NC05),Republican
"Guest, Michael",10500,500,10000,Candidate (R-MS03),Republican
"Olszewski, John Anthony Jr.",10500,500,10000,Candidate (D-MD02),Democrat
"DeLauro, Rosa",10300,5300,5000,Candidate (D-CT03),Democrat
"Gill, Brandon",10250,250,10000,Candidate (R-TX26),Republican
"Pallone, Frank Jr",10000,0,10000,Candidate (D-NJ06),Democrat
"Lucas, Frank D",10000,0,10000,Candidate (R-OK03),Republican
"Sessions, Pete",10000,0,10000,Candidate (R-TX17),Republican
"Sherman, Brad",10000,0,10000,Candidate (D-CA32),Democrat
"Rogers, Mike D",10000,0,10000,Candidate (R-AL03),Republican
"Cleaver, Emanuel",10000,0,10000,Candidate (D-MO05),Democrat
"Miller-Meeks, Mariannette",10000,0,10000,Candidate (R-IA01),Republican
"Fleischmann, Chuck",10000,0,10000,Candidate (R-TN03),Republican
"Wagner, Ann",10000,0,10000,Candidate (R-MO02),Republican
"LaMalfa, Doug",10000,0,10000,Candidate (R-CA01),Republican
"Joyce, David P",10000,0,10000,Candidate (R-OH14),Republican
"Torres, Norma",10000,0,10000,Candidate (D-CA35),Democrat
"Rutherford, John",10000,0,10000,Candidate (R-FL05),Republican
"Johnson, Dusty",10000,0,10000,Candidate (R-SD01),Republican
"Downing, Troy",10000,0,10000,Candidate (R-MT02),Republican
"James, John",10000,0,10000,Candidate (R-MI10),Republican
"Kennedy, Mike",10000,0,10000,Candidate (R-UT03),Republican
"Feenstra, Randy",10000,0,10000,Candidate (R-IA04),Republican
"LaLota, Nick",10000,0,10000,Candidate (R-NY01),Republican
"Harshbarger, Diana",10000,0,10000,Candidate (R-TN01),Republican
"Fallon, Patrick",10000,0,10000,Candidate (R-TX04),Republican
"Flood, Mike",10000,0,10000,Candidate (R-NE01),Republican
"Finstad, Brad",10000,0,10000,Candidate (R-MN01),Republican
"Knott, Brad",10000,0,10000,Candidate (R-NC13),Republican
"Taylor, David",10000,0,10000,Candidate (R-OH02),Republican
"Rulli, Michael",10000,0,10000,Candidate (R-OH06),Republican
"Fong, Vince",10000,0,10000,Candidate (R-CA20),Republican
"Biggs, Sheri",10000,0,10000,Candidate (R-SC03),Republican
"Clarke, Yvette",9850,8850,1000,Candidate (D-NY09),Democrat
"Tiffany, Tom",9612,4612,5000,Candidate (R-WI07),Republican
"Babin, Brian",9500,3500,6000,Candidate (R-TX36),Republican
"Sherrill, Mikie",9350,9350,0,Candidate (D-NJ11),Democrat
"Johnson, Bill",9300,6300,3000,Candidate (R-OH06),Republican
"Burlison, Eric",9250,2250,7000,Candidate (R-MO07),Republican
"Quigley, Mike",9050,9050,0,Candidate (D-IL05),Democrat
"Pelosi, Nancy",8322,3322,5000,Candidate (D-CA11),Democrat
"Moore, Blake",8250,3250,5000,Candidate (R-UT01),Republican
"Friedman, Laura",7750,2750,5000,Candidate (D-CA30),Democrat
"Elfreth, Sarah",7000,2000,5000,Candidate (D-MD03),Democrat
"Fedorchak, Julie",7000,2000,5000,Candidate (R-ND01),Republican
"Del Rosal Isais, Luisa Maria",6850,6850,0,Candidate (R-TX26),Republican
"Obernolte, Jay",6572,1572,5000,Candidate (R-CA23),Republican
"Houchin, Erin",6500,1500,5000,Candidate (R-IN09),Republican
"Stauber, Pete",6250,1250,5000,Candidate (R-MN08),Republican
"Barrasso, John",6000,0,6000,Candidate (R-WYS1),Republican
"Crank, Jeffrey G",6000,1000,5000,Candidate (R-CO05),Republican
"Swalwell, Eric",6000,1000,5000,Candidate (D-CA14),Democrat
"Bentz, Cliff",5750,750,5000,Candidate (R-OR02),Republican
"Thompson, Glenn",5500,500,5000,Candidate (R-PA15),Republican
